Wall time,Step,Value
1777114235.2505064,3600,1.3694317203771789e-05
1777114267.3032064,7200,1.232245904247975e-05
1777114298.50873,10800,1.232278191309888e-05
1777114329.3097367,14400,1.133679506892804e-05
1777114359.903851,18000,1.219802834384609e-05
1777114390.5690691,21600,1.1286263543297537e-05
1777114421.0428655,25200,9.818526450544596e-06
1777114451.8504987,28800,9.400129783898592e-06
1777114490.5863235,32400,9.115212378674187e-06
1777114548.417237,36000,9.247508387488779e-06
1777114596.1499674,39600,9.068976396520156e-06
1777114638.9143708,43200,8.63680998008931e-06
1777114679.5551822,46800,7.801607353030704e-06
1777114718.9372876,50400,6.865629529784201e-06
1777114754.8192706,54000,6.85806253386545e-06
1777114790.0333707,57600,6.727885192958638e-06
1777114825.7415133,61200,6.176679107738892e-06
1777114861.077965,64800,6.039554591552587e-06
1777114895.4061177,68400,5.623468496196438e-06
1777114930.3820918,72000,5.645000328513561e-06
1777114964.9251695,75600,5.464315108838491e-06
1777114999.837384,79200,4.4533630898513366e-06
1777115035.7105339,82800,4.718603122455534e-06
1777115070.7331085,86400,4.100281330465805e-06
1777115105.4359384,90000,5.249743026070064e-06
1777115140.3033054,93600,4.167378392594401e-06
1777115175.610171,97200,3.888522769557312e-06
1777115210.4593713,100800,3.8059567941672867e-06
1777115248.7538552,104400,3.875504717143485e-06
1777115292.1974685,108000,3.7615213841490913e-06
1777115338.1994462,111600,3.8993598536762875e-06
1777115382.6988988,115200,3.483019327177317e-06
1777115424.4288461,118800,3.174064431732404e-06
1777115459.245205,122400,3.619142262323294e-06
1777115494.2943575,126000,3.0130975119391223e-06
1777115528.2616632,129600,3.17999501930899e-06
1777115562.4939096,133200,3.1164938718575286e-06
1777115598.1670823,136800,2.8018600914947456e-06
1777115633.4112608,140400,2.4637231490487466e-06
1777115671.3897398,144000,2.701020775930374e-06
1777115726.398733,147600,2.9050197554170154e-06
1777115764.2654848,151200,3.1165106975095114e-06
1777115800.9505105,154800,2.4505027340637753e-06
1777115836.207346,158400,2.2770773284719326e-06
1777115871.6371605,162000,3.199103502993239e-06
1777115906.8159516,165600,2.5921553969965316e-06
1777115942.1682985,169200,2.751669399003731e-06
1777115976.8754683,172800,2.6214556783088483e-06
1777116012.0632548,176400,2.4446901534247445e-06
1777116048.6692762,180000,2.3264706214831676e-06
1777116084.1111226,183600,2.1212169940554304e-06
1777116129.3934648,187200,2.2726321731170174e-06
1777116164.9488611,190800,2.4122321065078722e-06
1777116200.402526,194400,2.160710437237867e-06
1777116236.7160325,198000,1.995485945371911e-06
1777116271.6548579,201600,2.024521791099687e-06
1777116306.9134734,205200,1.745195504554431e-06
1777116342.518809,208800,2.0854738522757543e-06
1777116377.52734,212400,1.9098690700047882e-06
1777116412.6676805,216000,2.0291779492254136e-06
1777116447.3910694,219600,1.7076865788112627e-06
1777116482.1088169,223200,1.5436377225341857e-06
1777116517.505682,226800,1.730975668579049e-06
1777116552.776694,230400,1.755729272190365e-06
1777116587.598169,234000,1.6444942048110534e-06
1777116622.7689195,237600,1.716853830657783e-06
1777116658.2086935,241200,1.5216774045256898e-06
1777116693.0072048,244800,1.730445546854753e-06
1777116728.0748048,248400,1.4889529893480358e-06
1777116763.1583788,252000,1.517062628408894e-06
1777116798.0667415,255600,1.4909518313288572e-06
1777116833.3271196,259200,1.406759224664711e-06
1777116868.2537217,262800,1.4656760640718858e-06
1777116903.7690656,266400,1.4300097745945095e-06
1777116943.9754367,270000,1.514165546723234e-06
1777116994.8002229,273600,1.5066365222082823e-06
1777117043.8436604,277200,1.3349512073546066e-06
1777117079.3848605,280800,1.167492996501096e-06
1777117129.9368653,284400,1.2733006542475778e-06
1777117168.8063903,288000,1.2247191989445128e-06
1777117205.3879232,291600,1.1822223768831464e-06
1777117241.8749714,295200,1.470164079364622e-06
1777117278.9508324,298800,1.133431965172349e-06
1777117315.4281545,302400,1.247126192538417e-06
1777117351.2407947,306000,1.2302386949158972e-06
1777117387.0142412,309600,1.1413563925088965e-06
1777117423.211786,313200,1.1394685088816914e-06
1777117459.6440575,316800,9.837649486144073e-07
1777117495.775719,320400,1.154137748926587e-06
1777117546.2657046,324000,1.09779375634389e-06
1777117582.9873955,327600,1.1186290294062928e-06
1777117619.1817756,331200,1.06384663922654e-06
1777117654.5719583,334800,1.1385291145415977e-06
1777117690.2999299,338400,1.039711719386105e-06
1777117725.789727,342000,1.0687928124752943e-06
1777117761.9148695,345600,1.006599745778658e-06
1777117798.5683668,349200,9.371785267831001e-07
1777117834.7114506,352800,9.786939472178346e-07
1777117870.1590323,356400,7.975668836479599e-07
1777117905.63215,360000,9.541581675875932e-07
1777117941.243012,363600,1.1141435152239865e-06
1777117977.1373518,367200,9.031130616676819e-07
1777118029.4813614,370800,8.618443985142221e-07
1777118065.5554764,374400,8.771830266596226e-07
1777118101.5730884,378000,9.307270261160738e-07
1777118137.1691382,381600,7.47626700103865e-07
1777118173.4383063,385200,8.821438086670241e-07
1777118209.2419288,388800,8.442743819614407e-07
1777118244.9165852,392400,8.085611966635042e-07
1777118280.4210038,396000,8.209653969970532e-07
1777118316.6316066,399600,8.53994151839288e-07
1777118352.2231107,403200,8.896989811546518e-07
1777118387.5192797,406800,7.376096959887946e-07
1777118422.8955805,410400,7.245126880661701e-07
1777118460.2087686,414000,7.503594474655984e-07
1777118498.556093,417600,7.545564244537672e-07
1777118535.0244818,421200,7.867298563724034e-07
1777118570.29075,424800,6.821620104346948e-07
1777118606.7203784,428400,6.97151165240939e-07
1777118641.8725512,432000,7.5150552447667e-07
1777118698.8545122,435600,6.909966145940416e-07
1777118735.0538194,439200,6.560684937539918e-07
1777118772.4588573,442800,6.889224550832296e-07
1777118808.9672894,446400,6.967613330743916e-07
1777118845.350986,450000,7.284938874363434e-07
1777118885.7011144,453600,6.745399900864868e-07
1777118916.384176,457200,5.948210741735238e-07
1777118946.024977,460800,6.773735208298604e-07
1777118975.3519297,464400,5.733181751566008e-07
1777119004.6948674,468000,6.445525855269807e-07
1777119034.105612,471600,6.48518664547737e-07
1777119063.3723333,475200,6.745600558133447e-07
1777119092.5410273,478800,5.360878958526882e-07
1777119121.7928302,482400,6.253755486795853e-07
1777119151.3084486,486000,6.074608336348319e-07
1777119180.8826964,489600,6.100298151068273e-07
1777119210.1823993,493200,6.237726779545483e-07
1777119240.8066392,496800,6.18768069671205e-07
1777119269.988588,500400,6.283310653998342e-07
1777119299.501211,504000,5.728805376747914e-07
1777119328.8503826,507600,5.342715780898288e-07
1777119358.5401893,511200,5.770190227849525e-07
1777119387.7200675,514800,5.386458497014246e-07
1777119416.9332945,518400,5.421884452516679e-07
1777119445.9612365,522000,4.921541858493583e-07
1777119475.0641801,525600,5.828769076288154e-07
