Wall time,Step,Value
1777114235.252012,3600,10305.0
1777114267.3047078,7200,10310.0
1777114298.509727,10800,10305.0
1777114329.311251,14400,10286.0
1777114359.905349,18000,10339.0
1777114390.5700736,21600,10287.0
1777114421.0438614,25200,10297.0
1777114451.8530133,28800,10311.0
1777114490.588342,32400,10297.0
1777114548.4177918,36000,10245.0
1777114596.1509724,39600,10326.0
1777114638.915874,43200,10312.0
1777114679.55654,46800,10325.0
1777114718.939281,50400,10308.0
1777114754.820769,54000,10310.0
1777114790.0343676,57600,10335.0
1777114825.7425144,61200,10281.0
1777114861.0799587,64800,10252.0
1777114895.4081109,68400,10310.0
1777114930.3845918,72000,10337.0
1777114964.9266684,75600,10349.0
1777114999.8388183,79200,10259.0
1777115035.7115364,82800,10237.0
1777115070.7351015,86400,10331.0
1777115105.436935,90000,10270.0
1777115140.305634,93600,10333.0
1777115175.6121728,97200,10338.0
1777115210.4603748,100800,10323.0
1777115248.7558506,104400,10285.0
1777115292.1984813,108000,10363.0
1777115338.2009525,111600,10282.0
1777115382.7004013,115200,10367.0
1777115424.430345,118800,10342.0
1777115459.2471988,122400,10267.0
1777115494.2963526,126000,10358.0
1777115528.2636626,129600,10350.0
1777115562.4954095,133200,10331.0
1777115598.168584,136800,10307.0
1777115633.4139922,140400,10301.0
1777115671.3912566,144000,10313.0
1777115726.4008634,147600,10338.0
1777115764.267478,151200,10321.0
1777115800.9505105,154800,10312.0
1777115836.2088535,158400,10301.0
1777115871.6382117,162000,10311.0
1777115906.8169482,165600,10316.0
1777115942.1703496,169200,10292.0
1777115976.8769722,172800,10347.0
1777116012.0642638,176400,10340.0
1777116048.670778,180000,10324.0
1777116084.1126282,183600,10312.0
1777116129.3949702,187200,10359.0
1777116164.9508545,190800,10346.0
1777116200.4035223,194400,10320.0
1777116236.7175436,198000,10322.0
1777116271.656918,201600,10309.0
1777116306.9149785,205200,10318.0
1777116342.5208042,208800,10345.0
1777116377.5283432,212400,10334.0
1777116412.6687222,216000,10365.0
1777116447.39258,219600,10336.0
1777116482.1113193,223200,10368.0
1777116517.507937,226800,10345.0
1777116552.7781959,230400,10301.0
1777116587.6006641,234000,10355.0
1777116622.7699263,237600,10351.0
1777116658.2101965,241200,10312.0
1777116693.0087066,244800,10335.0
1777116728.076307,248400,10327.0
1777116763.1593752,252000,10371.0
1777116798.068334,255600,10320.0
1777116833.3286228,259200,10352.0
1777116868.2552328,262800,10377.0
1777116903.7706172,266400,10313.0
1777116943.9777036,270000,10368.0
1777116994.8012211,273600,10352.0
1777117043.8436604,277200,10330.0
1777117079.3868601,280800,10354.0
1777117129.9378622,284400,10330.0
1777117168.808384,288000,10352.0
1777117205.389426,291600,10372.0
1777117241.8764749,295200,10368.0
1777117278.952345,298800,10360.0
1777117315.4296582,302400,10364.0
1777117351.241793,306000,10364.0
