Wall time,Step,Value
1777114235.2515104,3600,9.999999747378752e-05
1777114267.3032064,7200,9.999999747378752e-05
1777114298.50873,10800,9.999999747378752e-05
1777114329.3097367,14400,9.999999747378752e-05
1777114359.903851,18000,9.999999747378752e-05
1777114390.5690691,21600,9.999999747378752e-05
1777114421.0428655,25200,9.999999747378752e-05
1777114451.8504987,28800,9.999999747378752e-05
1777114490.5863235,32400,9.999999747378752e-05
1777114548.417237,36000,9.999999747378752e-05
1777114596.1499674,39600,9.999999747378752e-05
1777114638.9143708,43200,9.999999747378752e-05
1777114679.5551822,46800,9.999999747378752e-05
1777114718.9372876,50400,9.999999747378752e-05
1777114754.8192706,54000,9.999999747378752e-05
1777114790.0333707,57600,9.999999747378752e-05
1777114825.7415133,61200,9.999999747378752e-05
1777114861.077965,64800,9.999999747378752e-05
1777114895.4061177,68400,9.999999747378752e-05
1777114930.3820918,72000,9.999999747378752e-05
1777114964.9251695,75600,9.999999747378752e-05
1777114999.837384,79200,9.999999747378752e-05
1777115035.7105339,82800,9.999999747378752e-05
1777115070.7331085,86400,9.999999747378752e-05
1777115105.4359384,90000,9.999999747378752e-05
1777115140.3033054,93600,9.999999747378752e-05
1777115175.610171,97200,9.999999747378752e-05
1777115210.4593713,100800,9.999999747378752e-05
1777115248.7538552,104400,9.999999747378752e-05
1777115292.1974685,108000,9.999999747378752e-05
1777115338.1994462,111600,9.999999747378752e-05
1777115382.6988988,115200,9.999999747378752e-05
1777115424.4288461,118800,9.999999747378752e-05
1777115459.245205,122400,9.999999747378752e-05
1777115494.2943575,126000,9.999999747378752e-05
1777115528.2616632,129600,9.999999747378752e-05
1777115562.4939096,133200,9.999999747378752e-05
1777115598.1670823,136800,9.999999747378752e-05
1777115633.4112608,140400,9.999999747378752e-05
1777115671.3902419,144000,9.999999747378752e-05
1777115726.398733,147600,9.999999747378752e-05
1777115764.2654848,151200,9.999999747378752e-05
1777115800.9505105,154800,9.999999747378752e-05
1777115836.207346,158400,9.999999747378752e-05
1777115871.6371605,162000,9.999999747378752e-05
1777115906.8159516,165600,9.999999747378752e-05
1777115942.1682985,169200,9.999999747378752e-05
1777115976.8754683,172800,9.999999747378752e-05
1777116012.0632548,176400,9.999999747378752e-05
1777116048.6692762,180000,7.999999797903001e-05
1777116084.1111226,183600,7.999999797903001e-05
1777116129.3934648,187200,7.999999797903001e-05
1777116164.9488611,190800,7.999999797903001e-05
1777116200.402526,194400,7.999999797903001e-05
1777116236.7165353,198000,7.999999797903001e-05
1777116271.6548579,201600,7.999999797903001e-05
