Wall time,Step,Value
1777346547.1611662,3600,-92.52100372314453
1777346569.648746,7200,-108.314697265625
1777346592.2766,10800,-84.58329772949219
1777346614.47885,14400,-98.190185546875
1777346636.9810467,18000,-84.88509368896484
1777346659.2905521,21600,-91.04279327392578
1777346681.3917108,25200,-99.11529541015625
1777346704.223155,28800,-76.86190032958984
1777346726.498621,32400,-87.00889587402344
1777346748.6194234,36000,-103.18169403076172
1777346770.8509762,39600,-75.84429931640625
1777346792.8067431,43200,-77.20399475097656
1777346815.6702478,46800,-89.59368896484375
1777346837.6974778,50400,-76.35478973388672
1777346859.7987278,54000,-87.45439147949219
1777346881.7742138,57600,-91.8594970703125
1777346903.899339,61200,-84.56570434570312
1777346925.9899712,64800,-78.72199249267578
1777346947.9617956,68400,-83.95199584960938
1777346969.9720721,72000,-87.13359832763672
1777346992.041954,75600,-72.76609802246094
1777347014.6681278,79200,-69.35919952392578
1777347037.502866,82800,-77.68888854980469
1777347059.3899422,86400,-78.68739318847656
1777347081.4675546,90000,-84.41139221191406
1777347103.337391,93600,-83.164794921875
1777347125.5513504,97200,-85.55580139160156
1777347147.6117392,100800,-73.21569061279297
1777347169.366773,104400,-75.78079223632812
1777347191.337623,108000,-79.44400024414062
1777347213.4100752,111600,-87.3323974609375
1777347235.3899724,115200,-72.72869873046875
1777347257.2878494,118800,-81.9783935546875
1777347279.3247423,122400,-80.99759674072266
1777347308.8069227,126000,-63.76340103149414
1777347331.2188265,129600,-79.63558959960938
1777347353.3843894,133200,-75.84099578857422
1777347375.7738369,136800,-83.46440124511719
1777347397.9258192,140400,-74.27479553222656
1777347420.1301334,144000,-70.22579956054688
1777347442.4128797,147600,-80.74889373779297
1777347464.462696,151200,-62.43149948120117
1777347486.5119972,154800,-63.0767936706543
1777347508.585467,158400,-66.3759994506836
1777347530.6231759,162000,-63.307899475097656
1777347552.6404328,165600,-69.42530822753906
1777347574.6780145,169200,-65.69949340820312
1777347597.0500116,172800,-47.92729949951172
1777347619.4335098,176400,-58.872493743896484
1777347641.529098,180000,-56.050899505615234
1777347663.5279238,183600,-65.32229614257812
1777347685.6409004,187200,-57.493499755859375
1777347707.6588857,190800,-52.25360107421875
1777347730.2591035,194400,-60.022701263427734
1777347752.2837873,198000,-54.310096740722656
1777347774.4676738,201600,-63.119293212890625
1777347796.9298584,205200,-54.205596923828125
1777347819.3285365,208800,-63.71849822998047
1777347841.3153443,212400,-61.57820129394531
1777347863.2884405,216000,-43.49709701538086
1777347885.2245288,219600,-57.54669952392578
1777347907.1770213,223200,-48.630096435546875
1777347929.2770185,226800,-49.95989990234375
1777347951.1436253,230400,-59.08329772949219
1777347973.2105205,234000,-51.55690002441406
1777347995.5297167,237600,-49.575199127197266
1777348017.529255,241200,-48.60559844970703
1777348039.6117191,244800,-50.579498291015625
1777348061.5412364,248400,-43.939693450927734
1777348083.6047268,252000,-51.13280487060547
1777348105.9108093,255600,-51.29730224609375
1777348128.0212457,259200,-44.37159729003906
1777348150.1938016,262800,-54.11929702758789
1777348172.3964422,266400,-53.50489807128906
1777348194.3385012,270000,-50.252498626708984
1777348217.081441,273600,-48.57440185546875
1777348239.1873791,277200,-55.72069549560547
1777348261.2126565,280800,-48.770599365234375
1777348283.2860515,284400,-48.728599548339844
1777348305.422594,288000,-48.35020065307617
1777348327.6737633,291600,-45.89179992675781
1777348349.9793792,295200,-44.63459396362305
1777348372.0038602,298800,-48.061893463134766
1777348394.0031216,302400,-48.752994537353516
1777348415.9572072,306000,-42.41120147705078
1777348438.008922,309600,-50.829795837402344
1777348460.2735505,313200,-47.178096771240234
1777348482.2937338,316800,-44.32320022583008
1777348504.3190162,320400,-39.00149917602539
